image_name,action_high_model_uncertainty,action_high_data_uncertainty,model_uncertainty,data_uncertainty,missed_reasons,excessive_reasons
00067cfb-e535423e,"[1, 2, 3]",[0],"[0.6025245785713196, 1.0, 1.0, 1.0]","[0.939466118812561, 0.7501968145370483, 0.7501968145370483, 0.7501968145370483]",[1],[0]
001bad4e-2fa8f3b6,"[0, 2, 3]",[1],"[1.0, 0.10844862461090088, 1.0, 1.0]","[0.4085830748081207, 0.8040351867675781, 0.4085830748081207, 0.4085830748081207]",[3],[]
002d290d-90f2bab2,"[0, 2]","[1, 3]","[1.0, 0.32728007435798645, 1.0, 0.3315861225128174]","[0.5404567122459412, 0.9570202827453613, 0.5404567122459412, 0.9534305334091187]",[],[3]
0049e5b8-725e21a0,"[1, 3]","[0, 2]","[0.15638436377048492, 1.0, 0.1405528336763382, 1.0]","[0.9776934385299683, 0.3449685573577881, 0.9950829744338989, 0.3449685573577881]",[3],[]
007eddfc-528c4da4,"[1, 2, 3]",[0],"[0.17523513734340668, 1.0, 1.0, 1.0]","[0.929120659828186, 0.5143890976905823, 0.5143890976905823, 0.5143890976905823]","[2, 3]",[]
00a395fe-d60c0b47,"[0, 2, 3]",[1],"[1.0, 0.1642369031906128, 1.0, 1.0]","[0.4999941885471344, 0.9150059223175049, 0.4999941885471344, 0.4999941885471344]",[],[]
00abf44e-421f6ed7,"[0, 2, 3]",[1],"[1.0, 0.11900509148836136, 1.0, 1.0]","[0.4287329316139221, 0.8313714861869812, 0.4287329316139221, 0.4287329316139221]","[0, 3]",[1]
00db9030-5102ed41,"[0, 2, 3]",[],"[1.0, 0.07058665156364441, 1.0, 1.0]","[0.3204639256000519, 0.668465256690979, 0.3204639256000519, 0.3204639256000519]",[],[]
00de601c-858a8a8d,"[1, 3]","[0, 2]","[0.06966781616210938, 1.0, 0.16315141320228577, 1.0]","[0.9439809322357178, 0.26245900988578796, 0.8451948165893555, 0.26245900988578796]",[],[2]
00f89335-2ef7949d,"[0, 2]",[1],"[1.0, 0.10895399004220963, 1.0, 0.3106933832168579]","[0.3639049232006073, 0.944725751876831, 0.3639049232006073, 0.7666224241256714]",[],[3]
015322bd-f004369e,"[0, 2, 3]",[],"[1.0, 0.06052963063120842, 1.0, 1.0]","[0.29158785939216614, 0.6189781427383423, 0.29158785939216614, 0.29158785939216614]",[],[]
017e2d3b-acac71ff,"[1, 3]","[0, 2]","[0.24992735683918, 1.0, 0.11309154331684113, 1.0]","[0.840826153755188, 0.3560287654399872, 0.9734071493148804, 0.3560287654399872]",[1],[0]
01818f85-6397dd75,"[0, 2, 3]",[],"[1.0, 0.09320348501205444, 1.0, 1.0]","[0.3764241635799408, 0.7574414610862732, 0.3764241635799408, 0.3764241635799408]",[],[]
01ad8d8a-49bb0c93,"[0, 2, 3]",[1],"[1.0, 0.10711709409952164, 1.0, 1.0]","[0.40592533349990845, 0.8003197908401489, 0.40592533349990845, 0.40592533349990845]",[],[]
